Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH
18:00:00,2.6,1292,112,9.4,955,103,1174,92,1559,972,19.4,27.7
19:00:00,2,1402,88,9.0,939,131,1140,114,1555,1074,19.3,25.0
20:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,18.7,22.3
21:00:00,2.2,1272,51,6.5,836,131,1205,116,1490,1110,18.0,24.5
22:00:00,1.6,1197,38,4.7,750,89,1337,96,1393,949,17.3,28.3
23:00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,17.5,30.0
0:00:00,1.2,1136,31,3.3,672,62,1453,76,1333,730,20.0,34.8
1:00:00,1,1094,24,2.3,609,45,1579,60,1276,620,19.1,43.1
2:00:00,0.9,1010,19,1.7,561,-200,1705,-200,1235,501,21.4,43.9
3:00:00,0.6,1011,14,1.3,527,21,1818,34,1197,445,24.6,48.1
4:00:00,-200,1066,8,1.1,512,16,1918,28,1182,422,25.0,49.2
5:00:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,25.3,47.6
6:00:00,0.7,1144,29,3.2,667,98,1490,82,1339,730,24.8,50.1
7:00:00,1.1,1333,64,8.0,900,174,1136,112,1517,1102,25.3,53.1
8:00:00,2,1351,87,9.5,960,129,1079,101,1583,1028,26.5,54.0
9:00:00,2.2,1233,77,6.3,827,112,1218,98,1446,860,25.0,51.1
10:00:00,1.7,1179,43,5.0,762,95,1328,92,1362,671,22.9,53.1
11:00:00,1.5,1236,61,5.2,774,104,1301,95,1401,664,21.7,49.0
12:00:00,1.6,1286,63,7.3,869,146,1162,112,1537,799,21.8,41.9
13:00:00,1.9,1371,164,11.5,1034,207,983,128,1730,1037,21.2,37.6
14:00:00,2.9,1310,79,8.8,933,184,1082,126,1647,946,20.2,31.3
15:00:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,18.4,29.4
16:00:00,2.2,1383,150,11.2,1020,243,1008,135,1719,1104,17.9,27.8
17:00:00,2.9,1581,307,20.8,1319,281,799,151,2083,1409,16.9,29.3
