Data-set,Algorithm,Support,Run-time,Memory,Patterns
B_C,ACO-GRAANK (2.0),0.5,0.0187,87.9,2.0
B_C,ACO-GRAANK (2.0),0.5,0.0397,117.3,5.0
B_C,ACO-GRAANK (2.0),0.5,0.0218,94.7,2.0
B_C,ACO-GRAANK (2.0),0.5,0.0244,99.2,3.0
B_C,ACO-GRAANK (2.0),0.5,0.017,81.8,1.0
B_C,ACO-GRAANK (2.0),0.5,0.0303,109.3,4.0
B_C,ACO-GRAANK (2.0),0.5,0.0548,101.8,8.0
B_C,ACO-GRAANK (2.0),0.5,0.0208,96.4,3.0
B_C,ACO-GRAANK (2.0),0.5,0.069,115.0,7.0
B_C,ACO-GRAANK (2.0),0.5,0.078,128.1,10.0
B_C,ACO-GRAANK (2.0),0.5,0.0345,113.2,5.0
B_C,ACO-GRAANK (2.0),0.5,0.0551,105.0,8.0
B_C,ACO-GRAANK (2.0),0.5,0.0233,94.7,3.0
B_C,ACO-GRAANK (2.0),0.5,0.027,101.6,4.0
B_C,ACO-GRAANK (2.0),0.5,0.0285,107.5,5.0
B_C,ACO-GRAANK (2.0),0.5,0.0255,100.0,4.0
B_C,ACO-GRAANK (2.0),0.5,0.0458,110.9,4.0
B_C,ACO-GRAANK (2.0),0.5,0.0165,80.1,1.0
B_C,ACO-GRAANK (2.0),0.5,0.0269,102.7,3.0
B_C,ACO-GRAANK (2.0),0.5,0.02,90.3,2.0
B_C,ACO-GRAANK (2.0),0.5,0.0222,95.5,2.0
B_C,ACO-GRAANK (2.0),0.5,0.0433,100.1,6.0
B_C,ACO-GRAANK (2.0),0.5,0.0353,112.5,5.0
B_C,ACO-GRAANK (2.0),0.5,0.0536,103.5,7.0
B_C,ACO-GRAANK (2.0),0.5,0.0266,101.5,3.0
B_C,ACO-GRAANK (2.0),0.5,0.0539,107.0,7.0
B_C,ACO-GRAANK (2.0),0.5,0.0372,115.6,6.0
B_C,ACO-GRAANK (2.0),0.5,0.0163,79.3,1.0
B_C,ACO-GRAANK (2.0),0.5,0.0209,92.8,2.0
B_C,ACO-GRAANK (2.0),0.5,0.0906,128.1,12.0
B_C,ACO-GRAANK (2.0),0.5,0.0224,94.7,3.0
B_C,ACO-GRAANK (2.0),0.5,0.0444,90.9,2.0
B_C,ACO-GRAANK (2.0),0.5,0.0399,123.5,6.0
B_C,ACO-LCM (1.0),0.5,0.4592,368.9,3.0
B_C,ACO-LCM (1.0),0.5,0.5184,407.6,11.0
B_C,ACO-LCM (1.0),0.5,0.4958,396.4,9.0
B_C,ACO-LCM (1.0),0.5,0.4457,356.2,2.0
B_C,ACO-LCM (1.0),0.5,0.4589,367.5,4.0
B_C,ACO-LCM (1.0),0.5,0.5327,406.9,15.0
B_C,ACO-LCM (1.0),0.5,0.5545,424.4,19.0
B_C,ACO-LCM (1.0),0.5,0.5339,411.4,15.0
B_C,ACO-LCM (1.0),0.5,0.4911,385.2,6.0
B_C,ACO-LCM (1.0),0.5,0.4985,390.2,9.0
B_C,ACO-LCM (1.0),0.5,0.5045,390.8,8.0
B_C,ACO-LCM (1.0),0.5,0.5863,430.7,26.0
B_C,ACO-LCM (1.0),0.5,0.6931,448.2,40.0
B_C,ACO-LCM (1.0),0.5,0.665,440.2,35.0
B_C,ACO-LCM (1.0),0.5,0.5166,401.9,12.0
B_C,ACO-LCM (1.0),0.5,0.6801,455.0,41.0
B_C,ACO-LCM (1.0),0.5,0.5961,432.5,23.0
B_C,ACO-LCM (1.0),0.5,0.5889,426.3,24.0
B_C,ACO-LCM (1.0),0.5,0.5149,408.2,13.0
B_C,ACO-LCM (1.0),0.5,0.5351,409.7,14.0
B_C,ACO-LCM (1.0),0.5,0.5123,400.2,12.0
B_C,ACO-LCM (1.0),0.5,0.5215,404.9,12.0
B_C,ACO-LCM (1.0),0.5,0.5157,404.2,12.0
B_C,ACO-LCM (1.0),0.5,0.491,396.1,8.0
B_C,ACO-LCM (1.0),0.5,0.5222,399.7,9.0
B_C,ACO-LCM (1.0),0.5,0.5026,401.0,9.0
B_C,ACO-LCM (1.0),0.5,0.5506,414.2,16.0
B_C,ACO-LCM (1.0),0.5,0.4775,379.6,5.0
B_C,ACO-LCM (1.0),0.5,0.5395,405.8,15.0
B_C,ACO-LCM (1.0),0.5,0.5738,417.6,19.0
B_C,ACO-LCM (1.0),0.5,0.5249,421.4,16.0
B_C,ACO-LCM (1.0),0.5,0.5754,426.7,21.0
B_C,ACO-LCM (1.0),0.5,0.5393,401.2,12.0
B_C,GRAANK,0.5,1.1993,101.7,58.0
B_C,GRAANK,0.5,1.1886,101.7,58.0
B_C,GRAANK,0.5,1.1862,101.7,58.0
B_C,GRAANK,0.5,1.1971,101.7,58.0
B_C,GRAANK,0.5,1.1882,101.7,58.0
B_C,GRAANK,0.5,1.1893,101.7,58.0
B_C,GRAANK,0.5,1.1691,101.7,58.0
B_C,GRAANK,0.5,1.2902,101.7,58.0
B_C,GRAANK,0.5,1.193,101.7,58.0
B_C,GRAANK,0.5,1.1951,101.7,58.0
B_C,GRAANK,0.5,1.1996,101.7,58.0
B_C,GRAANK,0.5,1.1873,101.7,58.0
B_C,GRAANK,0.5,1.1916,101.7,58.0
B_C,GRAANK,0.5,1.1912,101.7,58.0
B_C,GRAANK,0.5,1.198,101.7,58.0
B_C,GRAANK,0.5,1.1876,101.7,58.0
B_C,GRAANK,0.5,1.1927,101.7,58.0
B_C,GRAANK,0.5,1.1979,101.7,58.0
B_C,GRAANK,0.5,1.1941,101.7,58.0
B_C,GRAANK,0.5,1.1997,101.7,58.0
B_C,GRAANK,0.5,1.1883,101.7,58.0
B_C,GRAANK,0.5,1.192,101.7,58.0
B_C,GRAANK,0.5,1.19,101.7,58.0
B_C,GRAANK,0.5,1.1974,101.7,58.0
B_C,GRAANK,0.5,1.1885,101.7,58.0
B_C,GRAANK,0.5,1.1883,101.7,58.0
B_C,GRAANK,0.5,1.1912,101.7,58.0
B_C,GRAANK,0.5,1.1967,101.7,58.0
B_C,GRAANK,0.5,1.1706,101.7,58.0
B_C,GRAANK,0.5,1.1909,101.7,58.0
B_C,GRAANK,0.5,1.198,101.7,58.0
B_C,GRAANK,0.5,1.1925,101.7,58.0
B_C,GRAANK,0.5,1.1912,101.7,58.0
B_C,LCM-GRAD (1.0),0.5,14.989,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.016,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.096,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.176,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.113,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.149,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.045,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.256,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.145,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.089,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.095,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.081,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.893,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.503,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.089,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.59,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.076,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.307,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.44,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.885,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.12,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.147,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.99,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.802,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.242,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.358,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.094,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.237,10447.0,19.0
B_C,LCM-GRAD (1.0),0.5,16.106,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.114,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.593,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.503,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.879,10446.0,19.0
B_C,ACO-GRAANK (2.0),0.6,0.0369,125.7,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0173,82.0,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0336,116.0,4.0
B_C,ACO-GRAANK (2.0),0.6,0.0392,124.2,1.0
B_C,ACO-GRAANK (2.0),0.6,0.093,166.3,3.0
B_C,ACO-GRAANK (2.0),0.6,0.0228,97.4,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0339,120.0,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0228,96.9,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0283,107.1,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0324,114.3,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0356,118.5,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0262,109.2,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0436,125.4,3.0
B_C,ACO-GRAANK (2.0),0.6,0.0393,122.3,4.0
B_C,ACO-GRAANK (2.0),0.6,0.0299,111.9,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0205,94.5,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0195,90.7,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0317,113.0,3.0
B_C,ACO-GRAANK (2.0),0.6,0.031,115.0,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0469,107.4,2.0
