BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
157,79,58,86,55,26,30,56,35,22,35,10,62,431,6,14,7,5,35,43
96,60,66,126,43,44,26,67,25,48,38,24,45,87,50,67,38,21,71,60
163,44,40,87,28,48,29,66,34,30,38,34,38,143,45,52,8,30,53,45
122,49,44,152,33,40,22,58,28,51,57,34,45,114,113,40,41,30,27,48
174,78,25,192,42,121,20,74,43,49,26,28,88,90,24,62,43,23,123,85
153,76,42,174,59,102,64,87,46,79,31,29,30,109,26,38,43,28,26,60
115,103,64,171,42,85,41,71,55,52,30,59,76,146,33,102,47,63,37,76
119,74,55,217,93,118,54,116,24,51,38,48,30,95,24,48,39,50,61,37
114,86,46,243,63,85,69,63,47,49,50,25,52,98,42,125,11,5,45,58
127,81,51,271,35,91,57,128,59,49,45,35,65,108,40,56,53,55,103,39
135,59,38,119,54,131,61,107,56,95,56,90,41,123,40,184,36,31,43,81
116,74,46,130,37,91,73,90,58,19,31,70,15,114,24,97,14,36,65,36
132,63,41,111,145,152,96,92,62,53,51,74,76,76,12,66,13,44,49,42
129,83,53,101,85,108,67,106,83,119,86,32,22,156,42,88,33,39,57,45
113,53,42,126,52,165,114,94,92,53,39,50,27,115,30,40,8,51,59,22
114,74,152,86,105,107,54,60,49,54,104,18,22,45,32,33,15,59,69,74
98,50,30,116,79,82,51,110,153,69,80,46,20,70,10,167,22,47,37,62
140,66,37,94,40,68,92,123,119,32,9,75,21,50,57,128,7,39,32,67
120,81,72,139,82,149,58,108,69,38,114,59,2,85,11,100,21,48,41,30
173,46,46,85,78,109,71,113,138,7,69,55,37,71,39,72,44,27,45,51
135,99,70,100,65,118,42,56,124,86,58,54,14,129,32,54,39,35,31,37
143,62,50,54,54,99,73,57,108,53,50,56,22,70,97,52,34,43,12,40
139,98,40,56,68,51,56,61,38,46,83,21,14,50,46,48,12,23,76,31
155,30,52,32,48,26,42,49,92,53,39,26,20,93,19,40,5,14,18,12
98,56,20,26,44,27,53,24,36,36,46,11,36,47,63,19,26,56,22,26
87,40,42,13,70,32,22,27,21,13,43,10,8,50,21,67,0,26,24,20
110,18,0,12,24,3,35,7,24,21,19,11,36,18,28,11,5,18,13,9
70,15,25,10,51,16,21,5,20,8,46,18,9,3,14,4,0,18,9,6
43,12,23,1,26,11,15,4,6,9,17,2,4,15,14,5,1,37,8,1
