,,,Run-time,Run-time,Run-time,Run-time,Patterns,Patterns,Patterns,Patterns,Memory,Memory,Memory,Memory
,,,std,min,mean,max,std,min,mean,max,std,min,mean,max
Data-set,Size,Algorithm,,,,,,,,,,,,
C2K,3943,ACO-GRAANK (v4.0),29.617,677.15,711.32,729.63,0.0,2.0,2.0,2.0,2.307,169.6,171.267,173.9
C2K,3943,ACO-GRAANK BD (v8.0),0.795,15.149,15.773,16.668,1.0,0.0,1.0,2.0,45.679,435.5,487.667,520.5
C2K,3943,ACO-GRAANK HDF5 (v7.0),,3777.7,3777.7,3777.7,,2.0,2.0,2.0,,500.5,500.5,500.5
UCI,116203,ACO-GRAANK BD (v8.0),63.772,454.74,524.787,579.48,0.0,2.0,2.0,2.0,15.312,258.7,276.367,285.8
UCI,116203,ACO-GRAANK HDF5 (v7.0),,33108.0,33108.0,33108.0,,2.0,2.0,2.0,,427.2,427.2,427.2
UCI,523104,ACO-GRAANK BD (v8.0),1251.013,9213.8,10098.4,10983.0,0.707,0.0,0.5,1.0,26.022,262.2,280.6,299.0
UCI,1000000,ACO-GRAANK BD (v8.0),481.54,39200.0,39540.5,39881.0,0.0,2.0,2.0,2.0,0.0,351.2,351.2,351.2
UCI,2075259,ACO-GRAANK BD (v8.0),22113.287,145958.0,162616.667,187705.0,0.577,1.0,1.333,2.0,5.605,361.6,367.333,372.8
