,Data-set,Algorithm,Support,Run-time,Memory,Patterns
13,B_C,ACO-GRAANK,0.5,0.0397,117.3,5.0
37,B_C,ACO-GRAANK,0.5,0.0244,99.2,3.0
88,B_C,ACO-GRAANK,0.5,0.0303,109.3,4.0
304,B_C,ACO-GRAANK,0.5,0.0458,110.9,4.0
321,B_C,ACO-GRAANK,0.5,0.0165,80.1,1.0
370,B_C,ACO-GRAANK,0.5,0.0536,103.5,7.0
460,B_C,ACO-GRAANK,0.5,0.0266,101.5,3.0
473,B_C,ACO-GRAANK,0.5,0.0372,115.6,6.0
608,B_C,ACO-GRAANK,0.5,0.0209,92.8,2.0
21,B_C,ACO-LCM,0.5,0.4592,368.9,3.0
136,B_C,ACO-LCM,0.5,0.4457,356.2,2.0
193,B_C,ACO-LCM,0.5,0.5339,411.4,15.0
411,B_C,ACO-LCM,0.5,0.5149,408.2,13.0
495,B_C,ACO-LCM,0.5,0.5157,404.2,12.0
534,B_C,ACO-LCM,0.5,0.491,396.1,8.0
547,B_C,ACO-LCM,0.5,0.5026,401.0,9.0
579,B_C,ACO-LCM,0.5,0.4775,379.6,5.0
591,B_C,ACO-LCM,0.5,0.5395,405.8,15.0
58,B_C,GRAANK,0.5,1.1971,101.7,58.0
71,B_C,GRAANK,0.5,1.1882,101.7,58.0
133,B_C,GRAANK,0.5,1.1691,101.7,58.0
430,B_C,GRAANK,0.5,1.1927,101.7,58.0
518,B_C,GRAANK,0.5,1.19,101.7,58.0
527,B_C,GRAANK,0.5,1.1974,101.7,58.0
565,B_C,GRAANK,0.5,1.1885,101.7,58.0
596,B_C,GRAANK,0.5,1.1883,101.7,58.0
628,B_C,GRAANK,0.5,1.1706,101.7,58.0
48,B_C,LCM-GRAD,0.5,14.989,10446.0,19.0
53,B_C,LCM-GRAD,0.5,15.016,10446.0,19.0
77,B_C,LCM-GRAD,0.5,15.113,10446.0,19.0
148,B_C,LCM-GRAD,0.5,15.149,10446.0,19.0
170,B_C,LCM-GRAD,0.5,15.089,10446.0,19.0
293,B_C,LCM-GRAD,0.5,15.44,10446.0,19.0
399,B_C,LCM-GRAD,0.5,14.885,10446.0,19.0
516,B_C,LCM-GRAD,0.5,15.358,10446.0,19.0
621,B_C,LCM-GRAD,0.5,15.593,10446.0,19.0
163,B_C,ACO-GRAANK,0.6,0.0392,124.2,1.0
255,B_C,ACO-GRAANK,0.6,0.0356,118.5,1.0
273,B_C,ACO-GRAANK,0.6,0.0436,125.4,3.0
328,B_C,ACO-GRAANK,0.6,0.031,115.0,1.0
385,B_C,ACO-GRAANK,0.6,0.0196,90.2,2.0
390,B_C,ACO-GRAANK,0.6,0.0961,189.1,2.0
474,B_C,ACO-GRAANK,0.6,0.0311,110.7,3.0
531,B_C,ACO-GRAANK,0.6,0.0203,92.4,1.0
631,B_C,ACO-GRAANK,0.6,0.0207,93.3,1.0
112,B_C,ACO-LCM,0.6,0.5484,413.6,14.0
185,B_C,ACO-LCM,0.6,0.5295,402.3,12.0
240,B_C,ACO-LCM,0.6,0.6228,431.1,25.0
252,B_C,ACO-LCM,0.6,0.5497,416.2,13.0
398,B_C,ACO-LCM,0.6,0.4305,348.9,1.0
414,B_C,ACO-LCM,0.6,0.4594,364.3,3.0
533,B_C,ACO-LCM,0.6,0.6414,437.1,27.0
592,B_C,ACO-LCM,0.6,0.5501,422.4,14.0
599,B_C,ACO-LCM,0.6,0.5784,422.7,16.0
105,B_C,GRAANK,0.6,0.5168,62.7,12.0
124,B_C,GRAANK,0.6,0.5184,62.7,12.0
155,B_C,GRAANK,0.6,0.5157,62.7,12.0
169,B_C,GRAANK,0.6,0.5176,62.7,12.0
360,B_C,GRAANK,0.6,0.518,62.7,12.0
375,B_C,GRAANK,0.6,0.519,62.7,12.0
431,B_C,GRAANK,0.6,0.5166,62.7,12.0
545,B_C,GRAANK,0.6,0.5192,62.7,12.0
617,B_C,GRAANK,0.6,0.5161,62.7,12.0
18,B_C,LCM-GRAD,0.6,14.985,10232.0,19.0
195,B_C,LCM-GRAD,0.6,14.79,10232.0,19.0
334,B_C,LCM-GRAD,0.6,14.59,10231.0,19.0
367,B_C,LCM-GRAD,0.6,14.674,10231.0,19.0
380,B_C,LCM-GRAD,0.6,14.88,10232.0,19.0
428,B_C,LCM-GRAD,0.6,14.826,10231.0,19.0
517,B_C,LCM-GRAD,0.6,15.189,10232.0,19.0
609,B_C,LCM-GRAD,0.6,14.899,10231.0,19.0
630,B_C,LCM-GRAD,0.6,14.903,9951.0,19.0
57,B_C,ACO-GRAANK,0.7,0.0817,155.7,1.0
70,B_C,ACO-GRAANK,0.7,0.0921,151.6,1.0
120,B_C,ACO-GRAANK,0.7,0.0172,82.4,1.0
123,B_C,ACO-GRAANK,0.7,0.0898,158.3,2.0
151,B_C,ACO-GRAANK,0.7,0.0461,105.4,1.0
197,B_C,ACO-GRAANK,0.7,0.0239,101.8,1.0
351,B_C,ACO-GRAANK,0.7,0.0816,180.8,1.0
393,B_C,ACO-GRAANK,0.7,0.1083,176.6,1.0
441,B_C,ACO-GRAANK,0.7,0.1313,205.3,0.0
56,B_C,ACO-LCM,0.7,0.7105,448.8,32.0
