Run-time: 0.7106804847717285 seconds
Total allocated memory size: 151.8 KiB
Algorithm: PRS-GRAANK (v1.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Minimum support: 0.5
Number of cores: 14
Number of patterns: 5
Number of iterations: 100
Number of cost evaluations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: data/hcv_data.csv

Pattern : Support
['0+', '4+'] : 0.509
['0+', '1-'] : 0.532
['0+', '2+'] : 0.546
['0+', '7+'] : 0.547
['0+', '9+'] : 0.517


Evaluation: Cost
1: 0.0022222222222222222 
2: 0.0022222222222222222 
3: 0.0015503875968992248 
4: 0.0015503875968992248 
5: 0.0001787629603146228 
6: 0.0001787629603146228 
7: 0.0001787629603146228 
8: 0.0001787629603146228 
9: 0.0001787629603146228 
10: 0.0001787629603146228 
11: 0.0001787629603146228 
12: 0.0001787629603146228 
13: 0.0001787629603146228 
14: 0.0001787629603146228 
15: 0.0001787629603146228 
16: 0.0001787629603146228 
17: 0.0001787629603146228 
18: 0.0001787629603146228 
19: 0.0001787629603146228 
20: 0.0001787629603146228 
21: 0.0001787629603146228 
22: 0.0001787629603146228 
23: 0.0001787629603146228 
24: 0.0001787629603146228 
25: 0.0001787629603146228 
26: 0.0001787629603146228 
27: 0.0001787629603146228 
28: 0.0001787629603146228 
29: 8.873114463176575e-05 
30: 8.873114463176575e-05 
31: 8.873114463176575e-05 
32: 8.873114463176575e-05 
33: 8.873114463176575e-05 
34: 8.873114463176575e-05 
35: 8.873114463176575e-05 
36: 8.873114463176575e-05 
37: 4.7666714333381e-05 
38: 4.7666714333381e-05 
39: 4.7666714333381e-05 
40: 4.7666714333381e-05 
41: 4.7666714333381e-05 
42: 4.7666714333381e-05 
43: 4.7666714333381e-05 
44: 4.7666714333381e-05 
45: 4.7666714333381e-05 
46: 4.7666714333381e-05 
47: 4.7666714333381e-05 
48: 4.7666714333381e-05 
49: 4.7666714333381e-05 
50: 4.7666714333381e-05 
51: 4.7666714333381e-05 
52: 4.7666714333381e-05 
53: 4.7666714333381e-05 
54: 4.7666714333381e-05 
55: 4.7666714333381e-05 
56: 4.7666714333381e-05 
57: 4.7666714333381e-05 
58: 4.7666714333381e-05 
59: 4.7666714333381e-05 
60: 4.7666714333381e-05 
61: 4.7666714333381e-05 
62: 4.7666714333381e-05 
63: 4.7666714333381e-05 
64: 4.7666714333381e-05 
65: 4.7666714333381e-05 
66: 3.3896007050369466e-05 
67: 3.3896007050369466e-05 
68: 3.3896007050369466e-05 
69: 3.3896007050369466e-05 
70: 3.3896007050369466e-05 
71: 3.3896007050369466e-05 
72: 3.3896007050369466e-05 
73: 3.3896007050369466e-05 
74: 3.3896007050369466e-05 
75: 3.3896007050369466e-05 
76: 3.3896007050369466e-05 
77: 3.3896007050369466e-05 
78: 3.3896007050369466e-05 
79: 3.3896007050369466e-05 
80: 3.3896007050369466e-05 
81: 3.3896007050369466e-05 
82: 3.3896007050369466e-05 
83: 3.3896007050369466e-05 
84: 3.3896007050369466e-05 
85: 3.3896007050369466e-05 
86: 3.3896007050369466e-05 
87: 3.3896007050369466e-05 
88: 3.3896007050369466e-05 
89: 3.3896007050369466e-05 
90: 3.3896007050369466e-05 
91: 3.3896007050369466e-05 
92: 3.3896007050369466e-05 
93: 3.3896007050369466e-05 
94: 3.3896007050369466e-05 
95: 3.3896007050369466e-05 
96: 3.3896007050369466e-05 
97: 3.3896007050369466e-05 
98: 3.3896007050369466e-05 
99: 3.3896007050369466e-05 
100: 3.3896007050369466e-05 
