Run-time: 0.5327227115631104 seconds
Total allocated memory size: 88.0 KiB
Algorithm: GA-GRAANK (v2.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Population size: 5
PC: 0.5
Minimum support: 0.5
Number of cores: 14
Number of patterns: 2
Number of iterations: 50
Number of cost evaluations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: data/hcv_data.csv

Pattern : Support
['0+', '4+'] : 0.509
['0+', '2+'] : 0.546


Evaluation: Cost
1: 0.0017035775127768314 
2: 0.0009871668311944718 
3: 0.0016666666666666668 
4: 0.0005058168942842691 
5: 0.00020593080724876442 
6: 0.008695652173913044 
7: 0.0003074085459575776 
8: 0.00022742779167614282 
9: 0.00028768699654775604 
10: 0.00423728813559322 
11: 0.0010471204188481676 
12: 0.0004420866489832007 
13: 0.0003079765937788728 
14: 0.0010660980810234541 
15: 0.0018975332068311196 
16: 0.014492753623188406 
17: 0.0007722007722007722 
18: 0.0014347202295552368 
19: 0.0005952380952380953 
20: 0.0005238344683080147 
21: 0.004405286343612335 
22: 0.02631578947368421 
23: 0.0005571030640668524 
24: 5.8496636443404506e-05 
25: 0.00011599582415033058 
26: 0.009708737864077669 
27: 0.0013227513227513227 
28: 0.0001272264631043257 
29: 0.0021551724137931034 
30: 0.0003198976327575176 
31: 0.0030303030303030303 
32: 0.00033944331296673454 
33: 0.0005924170616113745 
34: 0.0031446540880503146 
35: 0.009345794392523364 
36: 0.002570694087403599 
37: 0.0002738975623116954 
38: 0.0010905125408942203 
39: 0.0004977600796416127 
40: 0.000649772579597141 
41: 0.0005399568034557236 
42: 0.0007283321194464676 
43: 0.007462686567164179 
44: 0.0006031363088057901 
45: 0.0002300966405890474 
46: 0.004784688995215311 
47: 0.0014084507042253522 
48: 0.0001808972503617945 
49: 0.0006596306068601583 
50: 0.0002300966405890474 
51: 0.0022624434389140274 
52: 0.00039323633503735744 
53: 0.0004977600796416127 
54: 0.00202020202020202 
55: 0.0006743088334457181 
56: 0.0011273957158962795 
57: 0.001392757660167131 
58: 0.0022271714922048997 
59: 0.0018484288354898336 
60: 0.0014792899408284023 
61: 0.00040290088638195 
62: 0.0019455252918287938 
63: 0.018867924528301886 
64: 0.012987012987012988 
65: 0.0023148148148148147 
66: 0.0022026431718061676 
67: 0.00196078431372549 
68: 0.00558659217877095 
69: 0.0014388489208633094 
70: 0.03125 
71: 0.0008176614881439084 
72: 0.0004899559039686428 
73: 0.0028328611898017 
74: 0.007042253521126761 
75: 0.00010085728693898134 
76: 0.0006293266205160479 
77: 0.00205761316872428 
78: 0.00019065776930409913 
79: 0.0010834236186348862 
80: 0.005917159763313609 
81: 0.0006949270326615705 
82: 0.0016313213703099511 
83: 0.0006138735420503376 
84: 0.006289308176100629 
85: 0.008771929824561403 
86: 0.006993006993006993 
87: 0.0047169811320754715 
88: 0.004878048780487805 
89: 0.0012106537530266344 
90: 0.0003837298541826554 
91: 0.006802721088435374 
92: 0.0007209805335255948 
93: 0.0033222591362126247 
94: 0.0008064516129032258 
95: 0.000216076058772688 
96: 0.001040582726326743 
97: 0.0010351966873706005 
98: 0.0005920663114268798 
99: 0.0013717421124828531 
100: 0.0014903129657228018 
