Run-time: 0.46576857566833496 seconds
Total allocated memory size: 76.2 KiB
Algorithm: PRS-GRAANK (v1.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Minimum support: 0.5
Number of cores: 14
Number of patterns: 1
Number of iterations: 100
Number of cost evaluations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: data/hcv_data.csv

Pattern : Support
['1-', '2+'] : 0.515


Evaluation: Cost
1: 2.2443162690486342e-05 
2: 2.2443162690486342e-05 
3: 2.2443162690486342e-05 
4: 2.2443162690486342e-05 
5: 2.2443162690486342e-05 
6: 2.2443162690486342e-05 
7: 2.2443162690486342e-05 
8: 2.2443162690486342e-05 
9: 2.2443162690486342e-05 
10: 2.2443162690486342e-05 
11: 2.2443162690486342e-05 
12: 2.2443162690486342e-05 
13: 2.2443162690486342e-05 
14: 2.2443162690486342e-05 
15: 2.2443162690486342e-05 
16: 2.2443162690486342e-05 
17: 2.2443162690486342e-05 
18: 2.2443162690486342e-05 
19: 2.2443162690486342e-05 
20: 2.2443162690486342e-05 
21: 2.2443162690486342e-05 
22: 2.2443162690486342e-05 
23: 2.2443162690486342e-05 
24: 2.2443162690486342e-05 
25: 2.2443162690486342e-05 
26: 2.2443162690486342e-05 
27: 2.2443162690486342e-05 
28: 2.2443162690486342e-05 
29: 2.2443162690486342e-05 
30: 2.2443162690486342e-05 
31: 2.2443162690486342e-05 
32: 2.2443162690486342e-05 
33: 2.2443162690486342e-05 
34: 2.2443162690486342e-05 
35: 2.2443162690486342e-05 
36: 2.2443162690486342e-05 
37: 2.2443162690486342e-05 
38: 2.2443162690486342e-05 
39: 2.2443162690486342e-05 
40: 2.2443162690486342e-05 
41: 2.2443162690486342e-05 
42: 2.2443162690486342e-05 
43: 2.2443162690486342e-05 
44: 2.2443162690486342e-05 
45: 2.2443162690486342e-05 
46: 2.2443162690486342e-05 
47: 2.2443162690486342e-05 
48: 2.2443162690486342e-05 
49: 2.2443162690486342e-05 
50: 2.2443162690486342e-05 
51: 2.2443162690486342e-05 
52: 2.2443162690486342e-05 
53: 2.2443162690486342e-05 
54: 2.2443162690486342e-05 
55: 2.2443162690486342e-05 
56: 2.2031769812069003e-05 
57: 2.2031769812069003e-05 
58: 2.2031769812069003e-05 
59: 5.794917857039376e-06 
60: 5.794917857039376e-06 
61: 5.794917857039376e-06 
62: 5.794917857039376e-06 
63: 5.794917857039376e-06 
64: 5.794917857039376e-06 
65: 5.794917857039376e-06 
66: 5.794917857039376e-06 
67: 5.794917857039376e-06 
68: 5.794917857039376e-06 
69: 5.794917857039376e-06 
70: 5.794917857039376e-06 
71: 5.794917857039376e-06 
72: 5.794917857039376e-06 
73: 5.794917857039376e-06 
74: 5.794917857039376e-06 
75: 5.794917857039376e-06 
76: 5.794917857039376e-06 
77: 5.794917857039376e-06 
78: 5.794917857039376e-06 
79: 5.794917857039376e-06 
80: 5.794917857039376e-06 
81: 5.794917857039376e-06 
82: 5.794917857039376e-06 
83: 5.794917857039376e-06 
84: 5.794917857039376e-06 
85: 5.794917857039376e-06 
86: 5.794917857039376e-06 
87: 5.794917857039376e-06 
88: 5.794917857039376e-06 
89: 5.794917857039376e-06 
90: 5.794917857039376e-06 
91: 5.794917857039376e-06 
92: 5.794917857039376e-06 
93: 5.794917857039376e-06 
94: 5.794917857039376e-06 
95: 5.794917857039376e-06 
96: 5.794917857039376e-06 
97: 5.794917857039376e-06 
98: 5.794917857039376e-06 
99: 5.794917857039376e-06 
100: 5.794917857039376e-06 
