Run-time: 73.61487126350403 seconds
Algorithm: Border-TGRAANK 
No. of data sets: 100
No. of (dataset) attributes: 9
Minimum support: 0.7
Minimum representativity: 0.99
Multi-core execution: True
Number of cores: 56


0. Date
1. Time
2. Global_active_power**
3. Global_reactive_power
4. Voltage
5. Global_intensity
6. Sub_metering_1
7. Sub_metering_2
8. Sub_metering_3
Emerging Pattern | Time Lags: (Transformation n, Transformation m)

[[(4, '+'), 4], [(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.001')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.001')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.001')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.001')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.001')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.001')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.002')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.002')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.002')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.002')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.002')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.003')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.003')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.003')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.003')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.003')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.004')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.005')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.005')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.005')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.005')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.005')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.006')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.007')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.007')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.007')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.007')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.007')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.008')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.009')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.009')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.009')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.009')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.009')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.01')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.01')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.01')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.01')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.01')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.011')
[[(4, '+'), 4], [(2, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.011')
[[(2, '-')], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.011')
[[(4, '+'), 4], [(5, '-')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.011')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.011')
[[5, (5, '+')]] | ('~ +24.0 hours : 0.001', '~ +24.0 hours : 0.011')
